Name,Sector,ESGRating,Date,Category
DISHMAN CARBOGEN AMCIS LIMITED,Pharmaceuticals,Crisil ESG 46,13-Oct-25,Below average
DIVI'S LABORATORIES LIMITED,Pharmaceuticals,Crisil ESG 61,19-Aug-25,Strong
DIXON TECHNOLOGIES (INDIA) LIMITED,Consumer Durables,Crisil ESG 50,14-Oct-25,Below average
DLF LIMITED,"Residential, Commercial Projects",Crisil ESG 57,22-Aug-25,Adequate
DODLA DAIRY LIMITED,Dairy Products,Crisil ESG 55,11-Jul-25,Adequate
DR. LAL PATHLABS LIMITED,Healthcare Service Provider,Crisil ESG 58,7-Jul-25,Adequate
DR. REDDY'S LABORATORIES LIMITED,Pharmaceuticals,Crisil ESG 66,30-Jul-25,Strong
DWARIKESH SUGAR INDUSTRIES LIMITED,Sugar,Crisil ESG 57,22-Aug-25,Adequate
DYNAMATIC TECHNOLOGIES LIMITED,Industrial Products,Crisil ESG 52,8-Oct-25,Adequate
EASY TRIP PLANNERS LIMITED,"Tour, Travel Related Services",Crisil ESG 58,16-Oct-25,Adequate
ECLERX SERVICES LIMITED,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Crisil ESG 71,26-Sep-25,Leadership
EDELWEISS FINANCIAL SERVICES LIMITED,Holding Company,Crisil ESG 46,10-Oct-25,Below average
EDELWEISS RURAL & CORPORATE SERVICES LIMITED,Other Capital Market related Services,Crisil ESG 38,29-Sep-25,Weak
EICHER MOTORS LIMITED,2/3 Wheelers,Crisil ESG 58,5-Sep-25,Adequate
EID-PARRY (INDIA) LIMITED,Fertilizers,Crisil ESG 57,22-Aug-25,Adequate
EIH LIMITED,Hotels & Resorts,Crisil ESG 55,21-Aug-25,Adequate
ELANTAS BECK INDIA LIMITED,Specialty Chemicals,Crisil ESG 52,20-May-25,Adequate
ELECON ENGINEERING COMPANY LIMITED,Heavy Electrical Equipment,Crisil ESG 50,8-Jul-25,Below average
ELECTROSTEEL CASTINGS LIMITED,Iron & Steel Products,Crisil ESG 50,10-Sep-25,Below average
ELGI EQUIPMENTS LIMITED,"Compressors, Pumps & Diesel Engines",Crisil ESG 50,25-Aug-25,Below Average
EMAMI LIMITED,Personal Care,Crisil ESG 56,15-Sep-25,Adequate
EMAMI PAPER MILLS LIMITED,Paper & Paper Products,Crisil ESG 53,19-Sep-25,Adequate
EMBASSY DEVELOPMENTS LIMITED,"Residential, Commercial Projects",Crisil ESG 47,16-Oct-25,Below average
EMBASSY OFFICE PARKS REIT,REIT,Crisil ESG 53,6-Aug-25,Adequate
EMUDHRA LIMITED,IT Enabled Services,Crisil ESG 56,27-Jun-25,Adequate
ENDURANCE TECHNOLOGIES LIMITED,Auto Components & Equipments,Crisil ESG 59,7-Aug-25,Adequate
ENGINEERS INDIA LIMITED,Civil Construction,Crisil ESG 52,8-Oct-25,Adequate
ENTERTAINMENT NETWORK (INDIA) LIMITED,Media & Entertainment,Crisil ESG 56,29-Sep-25,Adequate
EPIGRAL LIMITED,Specialty Chemicals,Crisil ESG 52,30-Jun-25,Adequate
EPL LIMITED,Packaging,Crisil ESG 57,26-Sep-25,Adequate
EQUITAS SMALL FINANCE BANK LIMITED,Other Bank,Crisil ESG 66,10-Sep-25,Strong
ERIS LIFESCIENCES LIMITED,Pharmaceuticals,Crisil ESG 53,30-Jul-25,Adequate
ESAB INDIA LIMITED,Other Industrial Products,Crisil ESG 54,22-Aug-25,Adequate
ESCORTS KUBOTA LIMITED,Tractors,Crisil ESG 53,28-Jul-25,Adequate
ETERNAL LIMITED,E-Retail/ E-Commerce,Crisil ESG 62,2-Sep-25,Strong
EUREKA FORBES LIMITED,Household Appliances,Crisil ESG 58,1-Oct-25,Adequate
EVEREADY INDUSTRIES INDIA LIMITED,Household Products,Crisil ESG 51,20-Aug-25,Adequate
EVEREST INDUSTRIES LIMITED,Other Construction Materials,Crisil ESG 57,3-Oct-25,Adequate
EVEREST KANTO CYLINDER LIMITED,Industrial Products,Crisil ESG 49,8-Sep-25,Below average
